Id,Prediction
fadg0_si1279_1,sil
fadg0_si1279_2,sil
fadg0_si1279_3,sil
fadg0_si1279_4,sil
fadg0_si1279_5,sil
fadg0_si1279_6,sil
fadg0_si1279_7,sil
fadg0_si1279_8,sil
fadg0_si1279_9,sil
fadg0_si1279_10,sil
fadg0_si1279_11,sil
fadg0_si1279_12,sil
fadg0_si1279_13,ih
fadg0_si1279_14,ih
fadg0_si1279_15,ih
fadg0_si1279_16,ih
fadg0_si1279_17,aw
fadg0_si1279_18,r
fadg0_si1279_19,r
fadg0_si1279_20,r
fadg0_si1279_21,ih
fadg0_si1279_22,ih
fadg0_si1279_23,ih
fadg0_si1279_24,ih
fadg0_si1279_25,ih
fadg0_si1279_26,ih
fadg0_si1279_27,ih
fadg0_si1279_28,ih
fadg0_si1279_29,ih
fadg0_si1279_30,sil
fadg0_si1279_31,sil
fadg0_si1279_32,sil
fadg0_si1279_33,sil
fadg0_si1279_34,sil
fadg0_si1279_35,ih
fadg0_si1279_36,ih
fadg0_si1279_37,s
fadg0_si1279_38,s
fadg0_si1279_39,s
fadg0_si1279_40,s
fadg0_si1279_41,s
fadg0_si1279_42,s
fadg0_si1279_43,s
fadg0_si1279_44,s
fadg0_si1279_45,s
fadg0_si1279_46,s
fadg0_si1279_47,ih
fadg0_si1279_48,ih
fadg0_si1279_49,ih
fadg0_si1279_50,k
fadg0_si1279_51,ih
fadg0_si1279_52,ih
fadg0_si1279_53,ih
fadg0_si1279_54,ih
fadg0_si1279_55,ih
fadg0_si1279_56,ih
fadg0_si1279_57,aa
fadg0_si1279_58,aa
fadg0_si1279_59,aa
fadg0_si1279_60,aa
fadg0_si1279_61,ih
fadg0_si1279_62,aa
fadg0_si1279_63,ih
fadg0_si1279_64,ih
fadg0_si1279_65,ih
fadg0_si1279_66,ih
fadg0_si1279_67,r
fadg0_si1279_68,r
fadg0_si1279_69,r
fadg0_si1279_70,r
fadg0_si1279_71,r
fadg0_si1279_72,ih
fadg0_si1279_73,ih
fadg0_si1279_74,ih
fadg0_si1279_75,ih
fadg0_si1279_76,aw
fadg0_si1279_77,dx
fadg0_si1279_78,dx
fadg0_si1279_79,aw
fadg0_si1279_80,aw
fadg0_si1279_81,ih
fadg0_si1279_82,ih
fadg0_si1279_83,ih
fadg0_si1279_84,ih
fadg0_si1279_85,ih
fadg0_si1279_86,ih
fadg0_si1279_87,ih
fadg0_si1279_88,aw
fadg0_si1279_89,aa
fadg0_si1279_90,aa
fadg0_si1279_91,aa
fadg0_si1279_92,aa
fadg0_si1279_93,s
fadg0_si1279_94,s
fadg0_si1279_95,l
fadg0_si1279_96,l
fadg0_si1279_97,s
fadg0_si1279_98,sil
fadg0_si1279_99,ih
fadg0_si1279_100,ih
fadg0_si1279_101,s
fadg0_si1279_102,s
fadg0_si1279_103,ih
fadg0_si1279_104,ih
fadg0_si1279_105,s
fadg0_si1279_106,ih
fadg0_si1279_107,s
fadg0_si1279_108,s
fadg0_si1279_109,s
fadg0_si1279_110,s
fadg0_si1279_111,s
fadg0_si1279_112,s
fadg0_si1279_113,s
fadg0_si1279_114,s
fadg0_si1279_115,s
fadg0_si1279_116,s
fadg0_si1279_117,s
fadg0_si1279_118,aw
fadg0_si1279_119,aw
fadg0_si1279_120,aw
fadg0_si1279_121,n
fadg0_si1279_122,aw
fadg0_si1279_123,ih
fadg0_si1279_124,ih
fadg0_si1279_125,ih
fadg0_si1279_126,ih
fadg0_si1279_127,ih
fadg0_si1279_128,ih
fadg0_si1279_129,s
fadg0_si1279_130,sil
fadg0_si1279_131,sil
fadg0_si1279_132,sil
fadg0_si1279_133,s
fadg0_si1279_134,ih
fadg0_si1279_135,ih
fadg0_si1279_136,ih
fadg0_si1279_137,ih
fadg0_si1279_138,ih
fadg0_si1279_139,ih
fadg0_si1279_140,ih
fadg0_si1279_141,ih
fadg0_si1279_142,ih
fadg0_si1279_143,ih
fadg0_si1279_144,ih
fadg0_si1279_145,ih
fadg0_si1279_146,ih
fadg0_si1279_147,ih
fadg0_si1279_148,ih
fadg0_si1279_149,ih
fadg0_si1279_150,ih
fadg0_si1279_151,ih
fadg0_si1279_152,ih
fadg0_si1279_153,ih
fadg0_si1279_154,ih
fadg0_si1279_155,ih
fadg0_si1279_156,ih
fadg0_si1279_157,ih
fadg0_si1279_158,ih
fadg0_si1279_159,ih
fadg0_si1279_160,ih
fadg0_si1279_161,ih
fadg0_si1279_162,ih
fadg0_si1279_163,sil
fadg0_si1279_164,sil
fadg0_si1279_165,sil
fadg0_si1279_166,sil
fadg0_si1279_167,sil
fadg0_si1279_168,sil
fadg0_si1279_169,sil
fadg0_si1279_170,sil
fadg0_si1279_171,sil
fadg0_si1279_172,sil
fadg0_si1279_173,sil
fadg0_si1279_174,sil
fadg0_si1279_175,sil
fadg0_si1279_176,sil
fadg0_si1279_177,sil
fadg0_si1279_178,sil
fadg0_si1279_179,sil
fadg0_si1279_180,sil
fadg0_si1909_1,sil
fadg0_si1909_2,sil
fadg0_si1909_3,sil
fadg0_si1909_4,sil
fadg0_si1909_5,sil
fadg0_si1909_6,sil
fadg0_si1909_7,sil
fadg0_si1909_8,sil
fadg0_si1909_9,sil
fadg0_si1909_10,sil
fadg0_si1909_11,sil
fadg0_si1909_12,sil
fadg0_si1909_13,ih
fadg0_si1909_14,sil
fadg0_si1909_15,ih
fadg0_si1909_16,ih
fadg0_si1909_17,ih
fadg0_si1909_18,ih
fadg0_si1909_19,ih
fadg0_si1909_20,s
fadg0_si1909_21,ih
fadg0_si1909_22,ih
fadg0_si1909_23,ih
fadg0_si1909_24,ih
fadg0_si1909_25,ih
fadg0_si1909_26,ih
fadg0_si1909_27,ih
fadg0_si1909_28,ae
fadg0_si1909_29,ae
fadg0_si1909_30,ae
fadg0_si1909_31,ae
fadg0_si1909_32,ae
fadg0_si1909_33,ae
fadg0_si1909_34,ae
fadg0_si1909_35,ae
fadg0_si1909_36,ae
fadg0_si1909_37,ae
fadg0_si1909_38,ae
fadg0_si1909_39,ae
fadg0_si1909_40,s
fadg0_si1909_41,s
fadg0_si1909_42,s
fadg0_si1909_43,ae
fadg0_si1909_44,ih
fadg0_si1909_45,ae
fadg0_si1909_46,ih
fadg0_si1909_47,ih
fadg0_si1909_48,ih
fadg0_si1909_49,ih
fadg0_si1909_50,ih
fadg0_si1909_51,ih
fadg0_si1909_52,ae
fadg0_si1909_53,ih
fadg0_si1909_54,ih
fadg0_si1909_55,ih
fadg0_si1909_56,ih
fadg0_si1909_57,ih
fadg0_si1909_58,ih
